source,target
112789,441
359326,441
485135,441
790820,441
863790,441
8828,1113
628467,1113
50493,1498
96977,1498
219966,1498
561105,1498
607053,1498
583618,3226
626463,3226
859509,3226
790820,5501
863790,5501
37730,6310
184043,6310
50251,7731
359326,7731
485135,7731
863790,7731
780625,8549
922911,8549
39013,8570
305363,8570
690456,8570
781766,8570
855836,8570
583618,8591
855836,8591
859509,8591
159433,8828
495338,8828
112789,9441
178122,9441
393345,9490
7731,9787
112789,9787
543595,9787
750742,9787
782768,9787
178122,9970
863790,9970
335,11046
225930,11046
740833,11506
112789,11664
152023,12595
184043,12595
34899,12972
31556,13508
240665,13508
326249,13508
393345,13508
575522,13508
793425,13508
954964,13508
740833,13583
128495,14822
9441,16132
863790,16132
301619,16574
784814,17387
789340,18828
831215,18828
46527,19392
188190,19392
751604,19392
120010,20729
163420,20729
475334,20729
80780,20760
162197,21670
169795,21670
495338,21670
615489,21670
961234,22348
161351,25142
961234,25142
112789,25236
485135,25236
335,26164
615489,26164
762500,26164
797431,26164
174752,26193
601430,26193
326249,27221
583618,27221
242211,28002
626463,28002
782768,28002
301619,28432
831215,28432
29978,28863
317865,31442
495338,31442
26520,31617
863790,31765
301619,31823
289685,32301
37730,34880
359326,34899
781766,35587
13508,38321
174752,38321
636433,38321
775877,38321
923705,38321
36468,39013
152023,39013
223197,39013
255704,39013
31556,39342
393345,39342
96977,39406
607053,39406
130764,40124
152023,40124
213921,40124
243008,40124
485135,40124
527267,40124
780581,40124
805345,40124
94764,40230
451296,40230
561105,40648
607053,40648
184043,40743
772745,41976
26520,42589
34899,42589
124492,42589
326249,42589
636433,44663
758208,44663
790820,45560
863790,45560
961234,46429
751604,46527
305363,48061
583618,48061
585574,48061
766078,48061
852688,48061
37730,48265
626463,48265
192338,48811
219966,48811
223197,48811
561105,48811
607053,48811
779670,48811
885375,48811
37730,49026
215058,49026
270667,49026
521851,49026
146490,49062
152023,49062
243008,49062
335747,49062
521851,49062
757342,49062
771905,49062
359326,50493
485135,50493
48566,50967
75591,51603
374126,51603
758208,56193
8828,57151
628467,57151
765595,57151
28432,58934
193342,59758
607053,59758
781766,59758
393345,61041
568137,61041
748904,61041
26023,61637
29978,61637
31556,65040
243008,65040
757342,65040
184043,66514
26164,70586
615489,70586
762500,70586
921710,70586
159433,71636
49062,72941
185018,72941
211095,72941
583618,72941
326249,73969
754055,75591
765302,77952
235169,79959
359326,79959
485135,79959
863790,79959
124492,80358
628467,80358
8828,83194
159433,83194
495338,83194
8549,85038
40230,85038
803009,85038
922911,85038
21578,85271
376422,86250
921710,86250
607053,86828
22348,86927
80780,86927
932665,86927
1878899,86927
561105,87741
860080,87922
485135,88180
822910,88180
863790,88180
521851,90174
441,91549
154417,91549
270667,91549
543595,91549
782768,91549
790820,91549
859509,91549
780258,92107
154417,93565
988529,93565
746731,93859
335,94792
169795,94792
301619,94792
758208,94792
451296,94861
503602,94861
28432,96576
149840,96576
310455,96977
607053,96977
751256,97200
893383,97200
568137,97384
921710,97384
112789,97491
39013,98361
184043,98361
583618,98361
585574,98361
589630,98361
592595,98361
766078,98361
812711,98361
852688,98361
855836,98361
859509,98361
26520,99449
124492,99449
335,99508
26164,99508
46527,99508
215041,99508
615489,99508
762500,99508
893383,99508
921710,99508
61637,99770
746731,100659
8828,101072
762500,102750
485135,104548
863790,104548
690456,105030
37730,105129
48566,105129
112789,105638
290502,105638
665860,105638
312890,106145
516929,106145
205520,107556
480830,107556
803009,107556
806168,109414
124492,109628
359326,110011
240665,110791
326249,110791
792733,110791
884449,110791
235169,112789
359326,112789
617336,112789
790820,112789
863790,112789
34899,118979
746731,118979
163420,120010
214593,120010
221844,120010
675710,120010
687561,120010
124492,121778
495338,124492
112789,125940
290502,125940
50251,126731
268990,126782
301619,127301
743966,129551
961234,131038
80780,133057
642796,133719
831215,133719
174752,134051
194039,134051
326249,134051
