,1:distance importance,field num,in age field num,in age avg rank,in age follower num,out age follower num,trans field follower num,in age compete,score
74,1.455198235,2808,98,751.3333333,0,0,0,1241,0.000116651
589,1.471529087,2808,98,554.3333333,0,0,0,1241,0.000122782
1589,1.41421435,28,29,4,0,0,0,991,0.000111631
2578,1.441716205,2808,98,921.3333333,0,0,0,1241,0.000112138
2750,1.520065648,677,112,22,0,0,0,1413,0.000111434
2867,1.452625188,2808,56,381.6666667,0,0,0,1104,0.000128062
3226,1.559849738,2808,227,307,0,0,0,1527,0.000149929
4358,1.425969486,141,54,23.33333333,0,0,0,1413,0.00010307
4458,1.430976061,38,45,8.666666667,0,0,0,1527,0.000102865
4553,1.430737025,677,71,77,0,0,0,1104,0.000108943
4955,1.434857668,2808,163,1232,0,0,0,1413,0.000114515
6568,1.439291589,677,79,99.33333333,0,0,0,1241,0.000105352
6860,1.439618098,229,93,31.33333333,0,0,0,1413,0.000106428
7031,1.432187485,403,79,83,0,0,0,1241,0.000104736
7974,1.440675775,403,79,74.33333333,0,0,0,1241,0.000105231
8570,1.544535988,2808,227,406,0,0,0,1527,0.000146742
8591,1.538423925,2808,227,440.3333333,0,0,0,1527,0.000145677
9437,1.567254314,403,79,2.333333333,0,0,0,1241,0.000109373
9490,1.517914516,2808,163,520.3333333,0,0,0,1413,0.000131153
9787,1.604686002,2808,163,80.66666667,0,0,0,1413,0.000147001
9970,1.547621716,2808,163,346.6666667,0,0,0,1413,0.000137014
11052,1.490309442,403,98,49.66666667,0,0,0,1413,0.000106564
11210,1.434673454,677,112,164,0,0,0,1413,0.00010362
11506,1.475056998,2808,163,803,0,0,0,1413,0.000122968
11608,1.452612959,101,83,2,0,0,0,1413,0.000106808
11664,1.523358405,2808,163,496,0,0,0,1413,0.000131939
12570,1.427030777,141,54,19.66666667,0,0,0,1413,0.00010329
12595,1.534009696,2808,227,470,0,0,0,1527,0.000144776
12972,1.529350716,2808,227,503,0,0,0,1527,0.000143793
13038,1.432610863,406,195,22.33333333,0,0,0,1413,0.000124873
