,1:distance importance,field num,in age field num,in age avg rank,in age follower num,out age follower num,trans field follower num,in age compete
74,1.4551982353772241,2808,98,751.3333333333334,0,0,0,1241
589,1.4715290873246623,2808,98,554.3333333333334,0,0,0,1241
1589,1.4142143501681568,28,29,4.0,0,0,0,991
2578,1.4417162050586778,2808,98,921.3333333333334,0,0,0,1241
2750,1.5200656475771654,677,112,22.0,0,0,0,1413
2867,1.4526251876903506,2808,56,381.6666666666667,0,0,0,1104
3226,1.5598497380980132,2808,227,307.0,0,0,0,1527
4358,1.4259694858362422,141,54,23.333333333333332,0,0,0,1413
4458,1.4309760608629507,38,45,8.666666666666666,0,0,0,1527
4553,1.4307370253058085,677,71,77.0,0,0,0,1104
4955,1.4348576679818665,2808,163,1232.0,0,0,0,1413
6568,1.4392915894808633,677,79,99.33333333333333,0,0,0,1241
6860,1.4396180983668199,229,93,31.333333333333332,0,0,0,1413
7031,1.4321874852065548,403,79,83.0,0,0,0,1241
7974,1.4406757754646486,403,79,74.33333333333333,0,0,0,1241
8570,1.544535988214948,2808,227,406.0,0,0,0,1527
8591,1.5384239254952876,2808,227,440.3333333333333,0,0,0,1527
9437,1.567254313958657,403,79,2.3333333333333335,0,0,0,1241
9490,1.5179145158146525,2808,163,520.3333333333334,0,0,0,1413
9787,1.604686001635945,2808,163,80.66666666666667,0,0,0,1413
9970,1.5476217156724446,2808,163,346.6666666666667,0,0,0,1413
11052,1.4903094423514005,403,98,49.666666666666664,0,0,0,1413
11210,1.434673453981647,677,112,164.0,0,0,0,1413
11506,1.475056998297611,2808,163,803.0,0,0,0,1413
11608,1.452612958757072,101,83,2.0,0,0,0,1413
11664,1.523358405409056,2808,163,496.0,0,0,0,1413
12570,1.4270307768656034,141,54,19.666666666666668,0,0,0,1413
12595,1.5340096955555784,2808,227,470.0,0,0,0,1527
12972,1.5293507163267492,2808,227,503.0,0,0,0,1527
13038,1.4326108630355994,406,195,22.333333333333332,0,0,0,1413
13101,1.442348385826063,38,39,4.0,0,0,0,1241
13583,1.5301927937628663,2808,163,453.6666666666667,0,0,0,1413
