,Unnamed: 0,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,cluster
0,3,"[""Alexander O'Neal""]",625201,0.7609999999999999,0.7020000000000001,0.85,104.773,-8.523,1,7,0.108,3.13e-05,0.0935,0.0389,0,304427,34,1991,1/1/1991,All True Man,R&B;,1
1,4,"[""Alexander O'Neal""]",625201,0.6609999999999999,0.828,0.902,115.078,-12.673,0,11,0.276,1.4e-06,0.287,0.039,0,264933,37,1987,7/29/1987,(What Can I Say) To Make You Love Me,R&B;,1
2,5,"[""Alexander O'Neal""]",625201,0.7190000000000001,0.65,0.953,105.141,-12.947,0,7,0.0103,4.36e-05,0.133,0.0265,0,277773,34,1987,7/29/1987,The Lovers,R&B;,1
3,6,"[""Alexander O'Neal""]",625201,0.649,0.245,0.273,112.709,-17.585,1,11,0.496,0.0,0.174,0.0286,0,312733,29,1987,7/29/1987,Crying Overtime,R&B;,1
4,7,"[""Alexander O'Neal""]",625201,0.701,0.715,0.735,101.515,-14.999,0,11,0.06,0.0,0.354,0.0291,0,241107,32,1987,7/29/1987,Hearsay,R&B;,1
5,8,"[""Alexander O'Neal""]",625201,0.629,0.414,0.458,138.932,-15.002,1,1,0.544,0.000802,0.0731,0.0299,0,359200,47,1987,7/29/1987,Sunshine,R&B;,1
6,9,"[""Alexander O'Neal""]",625201,0.624,0.555,0.185,81.102,-9.646,0,5,0.042,0.000391,0.224,0.0271,0,370560,48,1995,10/1/1995,If You Were Here *******,R&B;,2
7,10,"[""Alexander O'Neal""]",625201,0.735,0.6940000000000001,0.755,112.846,-13.515,0,6,0.0011,0.0521,0.218,0.0348,0,235493,42,1987,7/29/1987,Fake,R&B;,1
8,11,"[""Alexander O'Neal""]",625201,0.659,0.759,0.74,116.943,-12.455,0,11,0.0792,1.09e-06,0.0564,0.0436,0,247400,53,1987,7/29/1987,Criticize,R&B;,2
9,12,"[""Alexander O'Neal""]",625201,0.75,0.59,0.8029999999999999,104.101,-11.799,1,5,0.321,0.0,0.115,0.0346,0,309400,40,1987,7/29/1987,Never Knew Love Like This,R&B;,1
10,123,"[""Colby O'Donis"", 'Akon']",106145,0.775,0.6409999999999999,0.305,119.974,-6.718,1,1,0.0327,0.0,0.18,0.038,0,243013,57,2008,1/1/2008,What You Got - Main,R&B;,2
11,124,"[""Colby O'Donis""]",106145,0.773,0.639,0.31,119.97,-6.738,1,1,0.0333,0.0,0.166,0.038,0,243240,44,2008,2008,What You Got (feat. Akon),R&B;,2
12,125,"[""D'Angelo""]",134600,0.8029999999999999,0.236,0.5670000000000001,80.97399999999999,-12.599,1,7,0.343,0.598,0.0682,0.0994,1,314166,42,1995,7/3/1995,"****, ****, ****",R&B;,1
13,126,"[""D'Angelo""]",134600,0.638,0.395,0.316,78.516,-11.299,0,4,0.7240000000000001,0.569,0.0761,0.1,0,344347,57,2014,12/15/2014,Really Love,R&B;,2
14,127,"[""D'Angelo""]",134600,0.407,0.399,0.5379999999999999,67.85600000000001,-12.483,1,1,0.457,3.379999999999999e-05,0.209,0.354,0,327733,40,1995,7/3/1995,Higher,R&B;,1
15,128,"[""D'Angelo""]",134600,0.643,0.473,0.509,81.944,-11.924,1,9,0.425,0.0227,0.0904,0.0957,0,313533,41,1995,7/3/1995,Alright,R&B;,1
16,129,"[""D'Angelo""]",134600,0.8420000000000001,0.405,0.8240000000000001,91.97200000000001,-9.504,1,1,0.219,0.0,0.368,0.628,1,286467,45,2000,1/1/2000,Left And Right,R&B;,2
17,130,"[""D'Angelo""]",134600,0.897,0.498,0.685,91.088,-10.093,0,11,0.108,0.0117,0.6579999999999999,0.312,0,278573,44,2000,1/1/2000,Chicken Grease,R&B;,2
18,131,"[""D'Angelo""]",134600,0.866,0.41,0.7040000000000001,80.194,-7.348,1,0,0.498,0.00019,0.0933,0.457,0,393107,43,2000,1/1/2000,The Root,R&B;,2
19,132,"[""D'Angelo""]",134600,0.507,0.691,0.453,79.314,-7.357,0,0,0.255,1.6e-05,0.885,0.0764,0,246560,40,1998,6/30/1998,Can't Hide Love - Live,R&B;,2
20,13,"[""Anita O'Day"", 'Roy Eldridge']",479028,0.514,0.327,0.602,126.221,-10.422,1,8,0.841,0.00127,0.0717,0.0366,0,233773,11,1956,1/1/1956,Boogie *****,Vocal,0
21,14,"[""Anita O'Day"", 'Roy Eldridge']",479028,0.547,0.394,0.539,127.598,-10.591,1,6,0.7240000000000001,0.000113,0.0789,0.0511,0,215667,9,1956,1/1/1956,Opus *,Vocal,0
22,15,"[""Anita O'Day"", 'Roy Eldridge']",479028,0.611,0.506,0.7659999999999999,152.032,-6.129,1,8,0.9620000000000001,0.0046,0.0533,0.0559,0,187560,17,1941,1941,Thanks For The Boogie Ride,Vocal,0
23,16,"[""Anita O'Day"", 'Roy Eldridge']",479028,0.57,0.523,0.7829999999999999,76.27199999999999,-5.531000000000001,1,8,0.961,0.005679999999999999,0.0543,0.07200000000000001,0,187507,1,1932,1932,Thanks For The Boogie Ride,Vocal,0
24,17,"[""Anita O'Day"", 'Roy Eldridge']",479028,0.519,0.345,0.535,133.331,-9.508,1,8,0.804,0.0,0.0739,0.0386,0,204000,14,1956,1/1/1956,Let Me *** Uptown,Vocal,0
25,18,"[""Anita O'Day""]",479028,0.563,0.0731,0.226,75.316,-19.433,1,2,0.9570000000000001,0.0,0.179,0.0345,0,126893,18,1957,1/1/1957,Stella By Starlight,Vocal,0
26,19,"[""Anita O'Day""]",479028,0.461,0.0314,0.177,62.738,-22.119,1,10,0.9329999999999999,0.00023,0.0858,0.0381,0,197707,11,1960,1/1/1960,Easy Living,Vocal,0
27,20,"[""Anita O'Day""]",479028,0.491,0.385,0.626,86.81200000000001,-9.2,1,2,0.623,0.0,0.176,0.0334,0,87120,12,1960,1/1/1960,Falling In Love With Love,Vocal,0
28,21,"[""Anita O'Day""]",479028,0.502,0.111,0.459,115.41,-18.55,1,2,0.892,1.97e-05,0.35,0.0606,0,148187,18,1961,3/14/1961,That Old Feeling,Vocal,0
29,22,"[""Anita O'Day""]",479028,0.534,0.0486,0.228,69.571,-15.446,0,10,0.99,0.000196,0.092,0.0353,0,254667,8,1955,1/1/1955,The Man I Love,Vocal,0
30,23,"[""Anita O'Day""]",479028,0.539,0.131,0.334,86.486,-15.584,1,10,0.966,8.91e-06,0.172,0.0564,0,166373,5,1955,1/1/1955,You're Getting To Be A Habit With Me,Vocal,0
31,24,"[""Anita O'Day""]",479028,0.643,0.138,0.653,91.234,-14.227,1,5,0.9640000000000001,0.0,0.087,0.0535,0,149067,5,1955,1/1/1955,Let's Fall In Love,Vocal,0
32,25,"[""Anita O'Day""]",479028,0.428,0.0667,0.216,74.546,-21.515,1,3,0.9790000000000001,0.00153,0.148,0.0627,0,235267,15,1957,1/1/1957,"Bewitched, Bothered And Bewildered",Vocal,0
33,26,"[""Anita O'Day""]",479028,0.418,0.365,0.883,184.252,-10.673,1,9,0.762,0.0,0.0489,0.129,0,103000,19,1959,1/1/1959,All Of You,Vocal,0
34,27,"[""Anita O'Day""]",479028,0.648,0.0391,0.327,76.184,-22.378,1,9,0.977,5.59e-05,0.0917,0.0372,0,241000,16,1957,1/1/1957,I've Got The World On A String,Vocal,0
