,Id,Label
0,625201,R&B;
1,479028,Vocal
2,80609,Pop/Rock
3,942624,Religious
4,654543,Pop/Rock
5,775588,Pop/Rock
6,106145,R&B;
7,134600,R&B;
8,677089,Vocal
9,206668,R&B;
10,210991,R&B;
11,169088,R&B;
12,741512,Pop/Rock
13,180263,Pop/Rock
14,800695,Pop/Rock
15,546735,Pop/Rock
16,161351,Pop/Rock
17,540883,Pop/Rock
18,575051,Pop/Rock
19,276085,Blues
20,109012,Pop/Rock
21,808003,Country
22,806829,Pop/Rock
23,370703,Blues
24,771419,Pop/Rock
25,259561,Pop/Rock
26,825208,Blues
27,231397,R&B;
28,293391,Country
29,377581,Pop/Rock
30,407331,R&B;
31,515251,Pop/Rock
32,935117,Jazz
33,324646,Pop/Rock
34,888394,R&B;
35,461698,Pop/Rock
36,894831,Latin
37,14263,Jazz
38,13101,New Age
39,350139,Pop/Rock
40,391398,Folk
41,309458,R&B;
42,756180,Pop/Rock
43,23202,Electronic
44,755745,Pop/Rock
45,17877,R&B;
46,489209,Pop/Rock
47,766385,Pop/Rock
48,71970,R&B;
49,104455,Pop/Rock
50,52900,Folk
51,892771,R&B;
52,486115,Pop/Rock
53,773666,Pop/Rock
54,498961,Pop/Rock
55,593129,Country
56,218473,Pop/Rock
57,692100,International
58,897382,Pop/Rock
59,428725,Pop/Rock
60,501537,Pop/Rock
61,331323,Pop/Rock
62,1585751,Pop/Rock
63,457692,Pop/Rock
64,328201,Pop/Rock
65,480984,Pop/Rock
66,792190,R&B;
67,790988,Reggae
68,812877,Pop/Rock
69,761064,Jazz
70,376888,Blues
71,61938,Pop/Rock
72,812239,Country
73,152312,Pop/Rock
74,59537,Pop/Rock
75,191070,Pop/Rock
76,191699,Latin
77,821252,Country
78,820232,Pop/Rock
79,371258,Pop/Rock
80,137494,R&B;
81,856451,Pop/Rock
82,355208,Pop/Rock
83,501692,Pop/Rock
84,3329291,Pop/Rock
85,253397,International
86,211424,Jazz
87,98688,Country
88,102750,Pop/Rock
89,778363,Vocal
90,120487,Comedy/Spoken
91,174007,Pop/Rock
92,162943,Pop/Rock
93,761109,Pop/Rock
94,792175,Jazz
95,507558,Latin
96,101776,Pop/Rock
97,762097,Pop/Rock
98,193231,Pop/Rock
99,418740,Pop/Rock
100,866417,Reggae
101,377035,R&B;
102,607283,Latin
103,192382,Pop/Rock
104,33560,Pop/Rock
105,367459,Pop/Rock
106,62860,Pop/Rock
107,9490,Pop/Rock
108,680003,Jazz
109,20319,Folk
110,793022,Pop/Rock
111,56193,Electronic
112,860080,Pop/Rock
113,633181,Pop/Rock
114,660155,Electronic
115,146478,Pop/Rock
116,159791,Jazz
117,128231,Pop/Rock
118,251210,Blues
119,128873,Pop/Rock
120,11242,Country
121,306851,Electronic
122,559785,Pop/Rock
123,925450,Pop/Rock
124,130686,Jazz
125,8828,Pop/Rock
126,286439,Latin
127,529050,Pop/Rock
128,3413218,Electronic
129,11046,Pop/Rock
130,11052,Country
131,560554,Pop/Rock
132,16281,Pop/Rock
133,932922,R&B;
134,490860,Pop/Rock
135,744548,Comedy/Spoken
136,746387,Country
137,347148,Pop/Rock
138,950805,Pop/Rock
139,758453,Pop/Rock
140,120953,Pop/Rock
141,93872,R&B;
142,396154,R&B;
143,80780,Pop/Rock
144,127451,Pop/Rock
145,19953,R&B;
146,669303,Pop/Rock
147,600386,Electronic
148,11754,Pop/Rock
149,865403,Pop/Rock
150,838327,Pop/Rock
151,2264745,Pop/Rock
152,500298,Reggae
153,2877943,Pop/Rock
154,3315236,Country
155,502269,Pop/Rock
156,20760,Country
157,501081,Pop/Rock
158,19435,Jazz
159,669194,Pop/Rock
160,127949,Jazz
161,824866,Jazz
162,128585,Reggae
163,120412,Pop/Rock
164,2136598,Pop/Rock
165,127766,Vocal
166,133719,Electronic
167,672411,Pop/Rock
168,395819,Vocal
169,76788,Country
170,23411,Country
171,108826,R&B;
172,130689,Pop/Rock
173,597269,Pop/Rock
174,378288,Electronic
175,130115,Folk
176,125829,Pop/Rock
177,20984,Pop/Rock
178,36312,Country
179,81493,Pop/Rock
180,501860,Pop/Rock
181,402351,R&B;
182,448152,Pop/Rock
183,1011101,Pop/Rock
184,793898,Pop/Rock
185,918140,Pop/Rock
186,142249,Electronic
187,3139368,Pop/Rock
188,888484,Pop/Rock
189,651107,Pop/Rock
190,385766,Vocal
191,405903,Pop/Rock
192,891911,R&B;
193,398020,Religious
194,665945,Pop/Rock
195,753056,Pop/Rock
196,139089,Pop/Rock
197,854203,Pop/Rock
198,197460,Vocal
199,771792,Pop/Rock
200,869417,Electronic
201,48816,Vocal
202,648097,Pop/Rock
203,938878,Pop/Rock
204,846092,Pop/Rock
205,178051,Electronic
206,684612,Jazz
207,778925,Pop/Rock
208,158849,Electronic
209,752022,Pop/Rock
210,3306945,Electronic
211,40743,Pop/Rock
212,139212,Pop/Rock
213,540742,Pop/Rock
214,626774,Pop/Rock
215,648407,Pop/Rock
216,553810,Pop/Rock
217,677842,Pop/Rock
218,301619,Pop/Rock
219,21292,Country
220,31556,Pop/Rock
221,33666,Pop/Rock
222,49026,Pop/Rock
223,806740,Pop/Rock
224,86250,Pop/Rock
225,757342,Pop/Rock
226,60012,Pop/Rock
227,96679,Pop/Rock
228,957340,Pop/Rock
229,597736,Electronic
230,868628,Pop/Rock
231,1405469,Pop/Rock
232,664346,Pop/Rock
233,561715,Pop/Rock
234,665860,Pop/Rock
235,540867,Pop/Rock
236,228889,Pop/Rock
237,307083,Pop/Rock
238,420504,Pop/Rock
239,9437,Country
